FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data
parcel_comments,Rent Roll_percentofficeul,,
parcel_id,Rent Roll_anchortype,,
parcel_verification_data,Rent Roll_coststofinish,,
parent_geo_id,Rent Roll_CurrentRentPerMo,,
parking_adequacy_id,Rent Roll_finish,,
parking_condition_id,Rent Roll_freerentmonths,,
parking_ratio_gba,Rent Roll_leaseconditions,,
parking_ratio_ra,Rent Roll_rentbasis,,
parking_ratio_unit,Rent Roll_rentincreased,,
parking_requirement,Rent Roll_tenantparking,,
parking_type_id,Rent Roll Summary_CommLeaseType,,
per_pupil_spending,Rent Roll Summary_commleasenotes,,
percent_diminution_in_value,Rent Roll Summary_commleaseterms,,
percent_office_ul,Rent Roll Summary_commrentconcessions,,
percent_rent,Rent Roll Summary_CommLeaseNotes,,
percent_stigma,Rent Roll Summary_escalations,,
percent_tillable,Unit Lease Summary_ID,,
percent_wetlands,Unit Lease Summary_mfleasesurveydate,,
perimeter,Unit Lease Summary_MFSourceNotes,,
perimeter_sf,Unit Lease Summary_instancetype,,
permitted_uses,Unit Lease Summary_managementcompany,,
pgim,Unit Lease_category,,
population,Unit Lease_unittype,,
potential_gross_income_multiplier,Unit Lease_unitcount,,
price,Unit Lease_vacantunits,,
price_adjustment,Unit Lease_unitsf,,
price_per_acre,Unit Lease_floor,,
price_per_bay,Unit Lease_rooms,,
price_per_bed,Unit Lease_bedrooms,,
price_per_bedroom,Unit Lease_baths,,
price_per_buildable_sf,Unit Lease_beds,,
price_per_far,Unit Lease_rentpermo,,
price_per_gba_meters,Unit Lease_annualrentpersf,,
price_per_land_hectares,Unit Lease_rentpersfpermo,,
price_per_land_sf,Unit Lease_marketrentmo,,
price_per_land_sqm,Unit Lease_marketrentsf,,
price_per_land_unit,Unit Lease_dailyrateperunit,,
price_per_mf_bedroom,Unit Lease_sizem2,,
price_per_mf_room,Unit Lease_rentperm2,,
price_per_primary_frontage,Unit Lease_lastrentincrease,,
price_per_ra,Unit Lease_rentincreasepercent,,
price_per_ra_meters,Unit Lease_leasestart,,
price_per_room,Unit Lease_leaseexpiration,,
price_per_sf,Unit Lease_communityfeemin,,
price_per_space,Unit Lease_communityfeemax,,
price_per_unit,Unit Lease_sfsizemin,,
price_per_usable_acre,Unit Lease_sfsizemax,,
price_per_usable_land_sf,Unit Lease_dailyrateperunitmin,,
priceactual,Unit Lease_dailyrateperunitmax,,
primary_frontage_lf,Unit Lease_entryfeemin,,
primary_frontage_st,Unit Lease_entryfeemax,,
product_segment,Unit Lease_contractrentmin,,
productivity_index,Unit Lease_contractrentmax,,
project_amenities,Unit Lease_marketrentmin,,
project_id,Unit Lease_marketrentmax,,
project_name,Unit Lease_unitheight,,
project_property_id,Unit Lease_unitwidth,,
project_style,Unit Lease_unitdepth,,
property_assessment_id,Unit Lease_incometarget,,
property_id,Unit Lease_MaxGrossLIHTCRestrictedRent,,
property_included,Unit Lease_lhtc,,
property_rights,Unit Lease_utilityallowance,,
property_type,Unit Lease_occupancytype,,
property_type_id,Unit Lease_affordabilitystatus,,
property_zoning_id,Unit Lease_tenantprofile,,
propertymajortype,Unit Lease_monthlyordailyrent,,
propertysubtype,Unit Lease Summary_mfsurveyedunitcounttotal,,
proposed_sf,Unit Lease Summary_mfvacantunitscount,,
proposed_units,Unit Lease Summary_vacancyrate,,
proposed_use,Unit Lease Summary_mfoccupancy,,
quality_id,Unit Lease Summary_UtilitiesPaidByOwner,,
ra_total,Unit Lease Summary_mfrenttype,,
rail_service,Unit Lease Summary_mfrentconcessions,,
ready_for_use,Unit Lease Summary_mfcarportfeemonthly,,
rear_yard_distance,Unit Lease Summary_projectstyle,,
recording_date,Unit Lease Summary_mfgaragefeemonthly,,
renovations_description,Unit Lease Summary_storagefee,,
rent_basis,Unit Lease Summary_mfrentpermomin,,
rent_comp_id,Unit Lease Summary_mfrentpermomax,,
rent_escalations,Unit Lease Summary_mfrentpersfmin,,
rent_increase_percent,Unit Lease Summary_mfrentpersfmax,,
rent_last_increased,Unit Lease Summary_mfrentpersfpermomin,,
rent_per_mo,Unit Lease Summary_mfrentpersfpermomax,,
rent_per_sf_per_mo,Unit Lease Summary_mfsizesfmin,,
rent_per_sf_per_mo_max,Unit Lease Summary_mfsizesfmax,,
rent_per_sf_per_mo_min,Unit Lease Summary_mfbrmin,,
rent_per_sq_meter,Unit Lease Summary_mfbrmax,,
rent_per_sq_meter_per_mo,Unit Lease Summary_mftotalrentpermonth,,
rent_roll_summary_commleasenotes,Unit Lease Summary_mftotalannualrent,,
rentable_area,Unit Lease Summary_avgmfunitsize,,
rentincreased,Unit Lease Summary_mfweightedavgrentperunit,,
rentperm2,Unit Lease Summary_mfweightedavgrentpersfpermo,,
rentperm2permo,Unit Lease Summary_mfweightedavgrentpersfperyear,,
responsible_party,Unit Lease Summary_totalmarketrent,,
retail_gba,Unit Lease Summary_projectamenities,,
retail_gla,Unit Lease Summary_mfamenities,,
rev_par,Unit Lease Summary_mfleasecomments,,
risk_profile,Unit Lease Summary_shpayormedicaidpercentage,,
road_frontage,Unit Lease Summary_SHPayorMedicarePercentage,,
roof_cover_id,Unit Lease Summary_shpayorvapercentage,,
roof_type_id,Unit Lease Summary_shpayorprivatepaypercentage,,
rooms,Unit Lease Summary_shpayorotherpercentage,,
sale_comments,Unit Lease Summary_shalunitcount,,
sale_comp_id,Unit Lease Summary_shaloccupancypercentage,,
sale_date,Unit Lease Summary_shalentryfee,,
sale_notes,Unit Lease Summary_shalcommunityfee,,
sale_price,Unit Lease Summary_shalsecondpersonfeemonthly,,
sale_supporting_files,Unit Lease Summary_shilunitcount,,
school_district_id,Unit Lease Summary_shiloccupancypercentage,,
schooldistrict,Unit Lease Summary_shilentryfee,,
secondary_frontage_lf,Unit Lease Summary_shilcommunityfee,,
secondary_frontage_st,Unit Lease Summary_shilsecondpersonfeemonthly,,
secondary_traffic_count,Unit Lease Summary_shmcunitcount,,
session_end,Unit Lease Summary_shmcoccupancypercentage,,
session_start,Unit Lease Summary_shmcentryfee,,
setback_distance,Unit Lease Summary_shmccommunityfee,,
sf_leased,Unit Lease Summary_shmcsecondpersonfeemonthly,,
sf_size_max,Unit Lease Summary_shsnunitcount,,
sf_size_min,Unit Lease Summary_shsnoccupancypercentage,,
shadow_anchors,Unit Lease Summary_shsnentryfee,,
shalcommunityfee,Unit Lease Summary_shsncommunityfee,,
shalentryfee,Unit Lease Summary_shsnsecondpersonfeemonthly,,
shaloccupancypercentage,Unit Lease Summary_shotherunitcount,,
shalsecondpersonfeemonthly,Unit Lease Summary_shotheroccupancypercentage,,
shalunitcount,Unit Lease Summary_shotherentryfee,,
shape,Unit Lease Summary_shothercommunityfee,,
shcaretypecomments,Unit Lease Summary_shothersecondpersonfeemonthly,,
shilcommunityfee,Unit Lease Summary_shcaretypecomments,,
shilentryfee,Unit Lease Summary_mfleasenotes,,
shilunitcount,incExp_name,,
shmccommunityfee,incExp_surveydate,,
shmcentryfee,incExp_financialstype,,
shmcoccupancypercentage,incExp_annualrent,,
shmcsecondpersonfeemonthly,incExp_baserentabatement,,
shmcunitcount,incExp_expensereimbursements,,
shothercommunityfee,incExp_netparkingincome,,
shotherentryfee,incExp_percentagerent,,
shotheroccupancypercentage,incExp_otherincome,,
shothersecondpersonfeemonthly,incExp_pgi,,
shotherunitcount,incExp_pgipersf,,
shpayormedicaidpercentage,incExp_pgiperunit,,
shpayormedicarepercentage,incExp_vacancycost,,
shpayorotherpercentage,incExp_vacancy,,
shpayorprivatepaypercentage,incExp_vacancycostpersf,,
