FIELD ERD,Field LightBox Data,Field Lighboxdata aligned,Field CoStar Data,Aligned CoStar Data
lender,Improvement_remainingeconomiclife,Sales_lender,,
lender_name,Improvement_foundation,,,
lessor,Improvement_exteriorwall,,,
lessor_name,Improvement_basementuseandfinish,,,
lh_occupancy,Improvement_basementsize,Improvement_lhoccupancy,,
lhtc,Improvement_columnspacing,Unit Lease_lhtc,,
lightbox_created_by,Improvement_ceilingheight,,,
lightbox_id,Improvement_roofcover,,,
lightbox_timestamp,Improvement_rooftype,,,
lng,Improvement_nooftruckdoors,Parcel_lng,,
lng_centroid,Improvement_nooftruckdoorswithlevelers,,,
locationdescription,Improvement_craneways,Parcel_locationdescription,,
major_type,Improvement_typicalbaydepth,,,
management_company,Improvement_clearheight,Unit Lease Summary_managementcompany,,
market,Improvement_cooling,Parcel_market,,
market_rent_max,Improvement_heating,Unit Lease_marketrentmax,,
market_rent_min,Improvement_noofelevators,Unit Lease_marketrentmin,,
market_rent_per_mo,Improvement_noofescalators,Unit Lease_marketrentmo,,
market_rent_per_sf,Improvement_sprinklers,,,
marketrentmo,Improvement_residentialdesign,,,
marketrentsf,Improvement_residentialamenities,,,
max_build_height,Improvement_fireplaceorwoodstove,,,
max_gross_lihtc_restricted_rent,Improvement_garage,Unit Lease_MaxGrossLIHTCRestrictedRent,,
max_site_coverage,Improvement_docks,,,
median_hh_income,Improvement_porchordeck,,,
median_home_value,Improvement_ancillarybuildings,Sites_medianhomevalue,,
median_household_income,Improvement_tenantimprovements,Sites_medianhouseholdincome,,
merge_timestamp,Improvement_features,,,
merged_by_user_or_system,Improvement_amenities,,,
mf_br_max,Improvement_improvmentcomments,Unit Lease Summary_mfbrmax,,
mf_br_min,Improvement_gbamultifamilymeters,Unit Lease Summary_mfbrmin,,
mf_carport_fee_monthly,Improvement_ramultifamilymeters,Unit Lease Summary_mfcarportfeemonthly,,
mf_garage_fee_monthly,Improvement_gbaofficemeters,Unit Lease Summary_mfgaragefeemonthly,,
mf_lease_comments,Improvement_raofficemeters,Unit Lease Summary_mfleasecomments,,
mf_lease_notes,Improvement_gbaretailMeters,Unit Lease Summary_mfleasenotes,,
mf_lease_survey_date,Improvement_raretailmeters,Unit Lease Summary_mfleasesurveydate,,
mf_occupancy,Improvement_gbaindustrialmeters,Unit Lease Summary_mfoccupancy,,
mf_rent_concessions,Improvement_raindustrialmeters,Unit Lease Summary_mfrentconcessions,,
mf_rent_per_mo_max,Improvement_gbaothermeters,Unit Lease Summary_mfrentpermomax,,
mf_rent_per_mo_min,Improvement_parkingratiora,Unit Lease Summary_mfrentpermomin,,
mf_rent_per_sf_max,Improvement_raothermeters,Unit Lease Summary_mfrentpersfmax,,
mf_rent_per_sf_min,Improvement_gbatotalmeters,Unit Lease Summary_mfrentpersfmin,,
mf_rent_per_sf_per_mo_max,Improvement_ratotalmeters,Unit Lease Summary_mfrentpersfpermomax,,
mf_rent_per_sf_per_mo_min,Rent Roll Summary_ID,Unit Lease Summary_mfrentpersfpermomin,,
mf_rent_type,Rent Roll Summary_instancetype,Unit Lease Summary_mfrenttype,,
mf_size_sf_max,Rent Roll Summary_commleasesurveydate,Unit Lease Summary_mfsizesfmax,,
mf_size_sf_min,Rent Roll Summary_confidential,Unit Lease Summary_mfsizesfmin,,
mf_source_notes,Rent Roll Summary_commrentpersfmin,Unit Lease Summary_MFSourceNotes,,
mf_surveyed_unit_count_total,Rent Roll Summary_commrentpersfmax,Unit Lease Summary_mfsurveyedunitcounttotal,,
mf_total_annual_rent,Rent Roll Summary_rentpersfpermomin,Unit Lease Summary_mftotalannualrent,,
mf_total_rent_per_month,Rent Roll Summary_rentpersfpermomax,Unit Lease Summary_mftotalrentpermonth,,
mf_unit_amenities,Rent Roll Summary_commsizemin,Unit Lease Summary_mfamenities,,
mf_vacant_units_count,Rent Roll Summary_commsizemax,Unit Lease Summary_mfvacantunitscount,,
mf_weighted_avg_rent_per_sf_per_mo,Rent Roll Summary_commverificationsource,Unit Lease Summary_mfweightedavgrentpersfpermo,,
mf_weighted_avg_rent_per_sf_per_year,Rent Roll Summary_commvacancy,Unit Lease Summary_mfweightedavgrentpersfperyear,,
mf_weighted_avg_rent_per_unit,Rent Roll Summary_nooftenants,Unit Lease Summary_mfweightedavgrentperunit,,
mfamenities,Rent Roll Summary_sfleased,,,
min_lot_area,Rent Roll Summary_anchors,,,
minimum_lot_area,Rent Roll Summary_shadowanchors,,,
monthly_or_daily_rent,Rent Roll Summary_commleasecomments,Unit Lease_monthlyordailyrent,,
msa,Rent Roll Summary_tenant,Parcel_msa,,
multifamily_gba,Rent Roll_id,,,
municipality,Rent Roll_tenant,Parcel_municipality,,
name,Rent Roll_lessor,Parcel_name,,
neighborhood,Rent Roll_leasetype,Parcel_neighborhood,,
neighborhoodcomments,Rent Roll_typeoruseofspace,Parcel_neighborhoodcomments,,
net_income_multiplier,Rent Roll_leasetransactiontype,,,
net_rentable_area,Rent Roll_suite,Assessment_taxrate,,
new_value,Rent Roll_floorlevel,,,
nim,Rent Roll_unitsf,Sales_nim,,
no_of_baths,Rent Roll_effectiverentsf,Improvement_noofbays,,
no_of_buildings,Rent Roll_effectiverentsfmo,Improvement_noofbuildings,,
no_of_craneways,Rent Roll_effrentperyear,,,
no_of_docks,Rent Roll_effrentpermo,,,
no_of_mf_bathrooms,Rent Roll_leasestartdate,Improvement_noofmfbathrooms,,
no_of_multifamily_bedrooms,Rent Roll_leaseexpiredate,Improvement_noofmultifamilybedrooms,,
no_of_multifamily_rooms,Rent Roll_baserentsf,Improvement_noofmultifamilyrooms,,
no_of_tenants,Rent Roll_baserentsfmo,Rent Roll Summary_nooftenants,,
north_boundary,Rent Roll_baserentperyear,Parcel_northboundary,,
notes,Rent Roll_baserentpermo,Sales_salenotes,,
number_of_parcels,Rent Roll_leaseterm,Sites_NumberOfParcels,,
number_of_units,Rent Roll_concessions,Improvement_noofunits,,
occupancy_type,Rent Roll_expensestop,Unit Lease_occupancytype,,
office_gba,Rent Roll_leasedate,,,
office_ra,Rent Roll_expensereimbursements,Improvement_percentofficera,,
old_value,Rent Roll_leasetenantimprovs,,,
opportunity_zone,Rent Roll_options,Parcel_opportunityzone,,
options,Rent Roll_percentrent,,,
ordinance_document,Rent Roll_tenantcam,,,
ordinance_document_url,Rent Roll_escalations,,,
original_list_price,Rent Roll_verificationdate,Sales_originallistprice,,
original_lp_percent_diff,Rent Roll_verificationsource,Sales_originallppercentdiff,,
other_acres,Rent Roll_commleasesurveydate,Sites_otheracres,,
other_adjustment,Rent Roll_datasource,Sales_otheradjustment,,
other_assessment,Rent Roll_comments,Assessment_otherassessment,,
other_db_refs,Rent Roll_sizem2,Parcel_otherdbrefs,,
other_gba,Rent Roll_rentperm2,Assessment_taxespergbam2,,
other_ra,Rent Roll_rentperm2permo,Assessment_taxesperra,,
owner,Rent Roll_rentpersfpermo,Parcel_owner,,
parcel_comments,Rent Roll_percentofficeul,,,
parcel_id,Rent Roll_anchortype,Unit Lease Summary_ID,,
parcel_verification_data,Rent Roll_coststofinish,Sales_verificationdate,,
parent_geo_id,Rent Roll_CurrentRentPerMo,,,
parking_adequacy_id,Rent Roll_finish,Improvement_parkingadequacy,,
parking_condition_id,Rent Roll_freerentmonths,Improvement_parkingcondition,,
parking_ratio_gba,Rent Roll_leaseconditions,Improvement_parkingratiogba,,
parking_ratio_ra,Rent Roll_rentbasis,Improvement_parkingratiora,,
