LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Unit Lease Summary_mfcarportfeemonthly,,shmcsecondpersonfeemonthly
Unit Lease Summary_mfgaragefeemonthly,,shmcunitcount
Unit Lease Summary_mfleasecomments,,shothercommunityfee
Unit Lease Summary_mfleasenotes,,shotherentryfee
Unit Lease Summary_mfleasesurveydate,,shotheroccupancypercentage
Unit Lease Summary_mfoccupancy,,shothersecondpersonfeemonthly
Unit Lease Summary_mfrentconcessions,,shotherunitcount
Unit Lease Summary_mfrentpermomax,,shpayormedicaidpercentage
Unit Lease Summary_mfrentpermomin,,shpayormedicarepercentage
Unit Lease Summary_mfrentpersfmax,,shpayorotherpercentage
Unit Lease Summary_mfrentpersfmin,,shpayorprivatepaypercentage
Unit Lease Summary_mfrentpersfpermomax,,shpayorvapercentage
Unit Lease Summary_mfrentpersfpermomin,,shsncommunityfee
Unit Lease Summary_mfrenttype,,shsnentryfee
Unit Lease Summary_mfsizesfmax,,shsnoccupancypercentage
Unit Lease Summary_mfsizesfmin,,shsnsecondpersonfeemonthly
Unit Lease Summary_MFSourceNotes,,shsnunitcount
Unit Lease Summary_mfsurveyedunitcounttotal,,side_yard_distance
Unit Lease Summary_mftotalannualrent,,site_acres
