LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Sales_tospriceperuseableacreland,,permitted_uses
Sales_tospriceperuseablesfland,,pgim
Sales_tosvacancyrate,,population
Sales_transactiontype,,potential_gross_income_multiplier
Sales_typeofcontamination,,price
Sales_verificationdate,,price_adjustment
Sales_verificationphone,,price_per_acre
Sales_verificationsource,,price_per_bay
Sites_access,,price_per_bed
Sites_acres,,price_per_bedroom
Sites_allowablefloorareasf,,price_per_buildable_sf
Sites_allutilities,,price_per_far
Sites_areainfloodzone,,price_per_gba_meters
Sites_buildablesf,,price_per_land_hectares
Sites_corner,,price_per_land_sf
Sites_depth,,price_per_land_sqm
Sites_dimensions,,price_per_land_unit
Sites_drainage,,price_per_mf_bedroom
Sites_earthquakehazardrisk,,price_per_mf_room
Sites_earthquakezonecomments,,price_per_primary_frontage
Sites_easementacres,,price_per_ra
Sites_easementlandsf,,price_per_ra_meters
Sites_effectivewaterfrontage,,price_per_room
Sites_encumbranceoreasement,,price_per_sf
Sites_environmentalissues,,price_per_space
Sites_excessacres,,price_per_unit
Sites_excesslandsf,,price_per_usable_acre
Sites_femamapdate,,price_per_usable_land_sf
Sites_floodmappanel,,priceactual
Sites_floodzone,,primary_frontage_lf
Sites_homesiteacres,,primary_frontage_st
Sites_landhectares,,product_segment
Sites_landsf,,productivity_index
Sites_landsquaremeters,,project_amenities
Sites_landunitapprovedorzoned,,project_id
Sites_landunits,,project_name
Sites_landunittype,,project_property_id
Sites_landuse,,project_style
Sites_NumberOfParcels,,property_assessment_id
Sites_otheracres,,property_id
Sites_percenttillable,,property_included
Sites_percentwetlands,,property_rights
Sites_primaryfrontagelf,,property_type
Sites_primaryfrontagest,,property_type_id
Sites_productivityindex,,property_zoning_id
Sites_proposedsf,,propertymajortype
Sites_roadfrontage,,propertysubtype
Sites_secondaryfrontagelf,,proposed_sf
Sites_secondaryfrontagest,,proposed_units
Sites_shape,,proposed_use
Sites_sitecomments,,quality_id
Sites_soiltype,,ra_total
Sites_Subparcels_acres,,rail_service
Sites_Subparcels_id,,ready_for_use
Sites_Subparcels_identification,,rear_yard_distance
Sites_Subparcels_landsf,,recording_date
Sites_Subparcels_parcelid,,renovations_description
Sites_Subparcels_subparcelcomments,,rent_basis
Sites_SurplusAcres,,rent_comp_id
Sites_SurplusLandSF,,rent_escalations
Sites_tertiaryfrontagelf,,rent_increase_percent
Sites_tertiaryfrontagest,,rent_last_increased
Sites_tillableacres,,rent_per_mo
Sites_topography,,rent_per_sf_per_mo
Sites_UnusableAcres,,rent_per_sf_per_mo_max
Sites_UnusableLandSF,,rent_per_sf_per_mo_min
Sites_usableacres,,rent_per_sq_meter
Sites_usablelandsf,,rent_per_sq_meter_per_mo
Sites_utilities,,rent_roll_summary_commleasenotes
Sites_views,,rentable_area
Sites_visibility,,rentincreased
Sites_wasteacres,,rentperm2
Sites_waterfrontage,,rentperm2permo
Sites_wetlandacres,,responsible_party
Sites_wetlandstype,,retail_gba
Sites_withinfloodplainname,,retail_gla
Sites_woodlandacres,,rev_par
Zoning_comments,,risk_profile
Zoning_district,,road_frontage
Zoning_jurisdiction,,roof_cover_id
Zoning_maxbuildheight,,roof_type_id
Zoning_maxsitecoverage,,rooms
Zoning_minimumlotarea,,sale_comments
Zoning_OrdinanceDocument,,sale_comp_id
Zoning_parkingrequirement,,sale_date
Zoning_PermittedUses,,sale_notes
Zoning_rearyarddistance,,sale_price
Zoning_setbackdistance,,sale_supporting_files
Zoning_sideyarddistance,,school_district_id
Zoning_Subrecords_authority,,schooldistrict
Zoning_Subrecords_backyarddistance,,secondary_frontage_lf
Zoning_Subrecords_comments,,secondary_frontage_st
Zoning_Subrecords_district,,secondary_traffic_count
Zoning_Subrecords_frontsetbackdistance,,session_end
Zoning_Subrecords_id,,session_start
Zoning_Subrecords_maxbuildheight,,setback_distance
Zoning_Subrecords_maxsitecoverage,,sf_leased
Zoning_Subrecords_minlotarea,,sf_size_max
Zoning_Subrecords_NA_jurisdiction,,sf_size_min
Zoning_Subrecords_ordinancedocument,,shadow_anchors
Zoning_Subrecords_parkingrequirement,,shalcommunityfee
Zoning_Subrecords_permitteduses,,shalentryfee
Zoning_Subrecords_sideyarddistance,,shaloccupancypercentage
Zoning_Subrecords_zoneddensity,,shalsecondpersonfeemonthly
Zoning_Subrecords_zoning,,shalunitcount
Zoning_Subrecords_Zoningid,,shape
Zoning_summary,,shcaretypecomments
Zoning_type,,shilcommunityfee
Zoning_zoneddensity,,shilentryfee
Zoning_zoningcode,,shilunitcount
,,shmccommunityfee
,,shmcentryfee
,,shmcoccupancypercentage
,,shmcsecondpersonfeemonthly
,,shmcunitcount
,,shothercommunityfee
,,shotherentryfee
,,shotheroccupancypercentage
,,shothersecondpersonfeemonthly
,,shotherunitcount
,,shpayormedicaidpercentage
,,shpayormedicarepercentage
,,shpayorotherpercentage
,,shpayorprivatepaypercentage
,,shpayorvapercentage
,,shsncommunityfee
,,shsnentryfee
,,shsnoccupancypercentage
,,shsnsecondpersonfeemonthly
,,shsnunitcount
,,side_yard_distance
,,site_acres
,,site_area_id
,,site_comments
,,site_dimensions
,,site_drainage
,,site_id
,,site_landscaping
,,site_topography
,,site_utilities
,,site_views
,,site_visibility
,,size_sq_meters
,,sizem2
,,soil_type
,,source_system
,,south_boundary
,,space_finish
,,special_assessments
,,sprinkler_type
,,sprinklers_id
,,square_feet
,,state
,,status
,,storage_fee
,,student_teacher_ratio
,,sub_type
,,submarket
,,suite
,,suite_number
,,supporting_files
,,tax_id
,,tax_rate
,,taxing_authority
,,tenant
,,tenant_cam
,,tenant_name
,,tenant_parking
,,tenant_profile
,,terminal_cap_rate
,,tertiary_frontage_lf
,,tertiary_frontage_st
,,tertiary_traffic_count
,,tillable_acres
,,time_log_id
,,timestamp
,,topography
,,tos_cap_rate
,,tos_effective_age
,,tos_egim
,,tos_noi
,,tos_number_of_tenants
,,tos_occupancy_rate
,,tos_price_per_rsf
,,tos_price_per_useable_acre_land
,,tos_price_per_useable_sf_land
,,tos_tenancy_type
,,tos_vacancy_rate
,,tos_weighted_avg_lease_term
,,tosweightedaverageleaseterm
,,total_assessment
,,total_market_rent
,,total_taxes
,,townshiprange
,,traffic_count
,,traffic_survey_date
,,transaction_type
,,type_of_contamination
,,type_or_use_of_space
,,unit_category
,,unit_count
,,unit_depth_ft
,,unit_floor
,,unit_height_ft
,,unit_mix_id
,,unit_sf
,,unit_type
,,unit_width_ft
,,unitdepth
,,unitheight
,,unitwidth
,,updated_at
,,updated_by_user_id
,,use_mix_id
,,use_type
,,user_id
,,utilities
,,utilities_paid_by_owner
,,utility_allowance
,,vacancy_rate
,,vacant_units
,,verification_date
,,verification_phone
,,verification_source
,,views
,,visibility
,,waste_acres
,,water_frontage
,,west_boundary
,,wetland_acres
,,wetlands_type
,,within_flood_plain
,,withinfloodplainname
,,woodland_acres
,,year_built_numeric
,,zip
,,zoned_density
,,zoning
,,zoning_authority
,,zoning_code
,,zoning_designation
,,zoning_district
,,zoning_id
,,zoning_jurisdiction
,,zoning_notes
,,zoning_subrecords_comments
,,zoning_subrecords_district
,,zoning_subrecords_summary
